# Training pairs for the OPPOSITE / antonym concept operator.
# Format: source <TAB> target  (target is the antonym of source)
# Pure semantic concept — should be the easiest case at this scale because
# antonym pairs are far apart in GTE space (unlike past-tense which is
# morphologically close).

# --- Concrete physical antonyms ---
big	small
hot	cold
fast	slow
high	low
new	old
open	closed
clean	dirty
strong	weak
sweet	sour
wet	dry
deep	shallow
wide	narrow
tall	short
soft	hard
heavy	light
sharp	dull

# --- Sensory / quality antonyms ---
loud	quiet
bright	dim
smooth	rough

# --- State / existence antonyms ---
present	absent
alive	dead
empty	full
visible	hidden

# --- Emotion / evaluative antonyms ---
happy	sad
brave	scared
good	bad
beautiful	ugly

# --- Truth-value antonyms ---
true	false
right	wrong
yes	no
